id,radius,ra,dec,transparency,stellarradius
HATS-60,486.4740000,341.3640336,-14.9917747,0.3,1.46
HATS-61,679.7610000,61.6578005,-25.3496674,0.369,1.66
HATS-62,523.0670000,312.4493079,-24.3035060,-0.173,0.93
HATS-63,623.2320000,67.4185820,-28.1972149,0.012,1.07
HATS-64,1080.1500000,144.2876092,-29.8004440,0.867,2.11
HATS-65,493.3200000,292.9397825,-26.7402021,0.377,1.31
HATS-66,1477.9800000,101.3948048,-33.8816918,0.767,1.84
HATS-67,960.1090000,180.2087883,-46.1364201,0.547,1.44
HATS-68,603.9550000,15.0060770,-58.9047242,0.592,1.75
HATS-69,414.5370000,289.2974275,-60.8917599,-0.318,0.88
HATS-7,240.7070000,208.8567465,-21.2078587,-0.434,0.81
HATS-70,1458.8300000,109.1045212,-31.2443947,1.079,1.88
HATS-71,140.2250000,15.5518893,-61.7561333,-1.56,0.48
HATS-72,127.5890000,339.0258401,-17.0003046,-0.659,0.72
HATS-74 A,299.3890000,171.0147921,-19.5569588,-1.216,0.58
HATS-75,194.9640000,60.9493919,-25.4089214,-1.197,0.58
HATS-76,385.6890000,70.3397665,-32.3204175,-1.038,0.63
HATS-77,436.1760000,149.8236672,-27.3928174,-0.992,0.64
HATS-9,638.7000000,290.8101704,-20.1663771,0.23,1.50
HD 100655,137.1780000,173.7653631,20.4415410,1.633,9.30
HD 102117,39.5792000,176.2097267,-58.7040134,0.157,1.24
HD 102195,29.3386000,176.4254063,2.8209912,-0.334,0.83
HD 102329,217.1070000,176.6941567,3.4742143,1.292,6.30
HD 102956,121.8900000,177.8436988,57.6406584,1.064,4.40
HD 103891,55.5213000,179.4382907,-8.5486195,0.786,2.22
HD 10442,135.3740000,25.4715240,2.7044193,0.31,1.97
HD 104985,100.5760000,181.3157854,76.9053359,1.77,11.12
HD 105779,55.2411000,182.6612053,-16.9564908,-0.108,0.94
HD 106252,38.1850000,183.3730583,10.0404302,0.108,1.05
HD 106270,93.8080000,183.4049258,-9.5135645,0.756,2.50
HD 106315,109.3530000,183.4724742,-0.3934357,0.35,1.28
HD 10647,17.3357000,25.6233526,-53.7412852,0.149,1.10
HD 106515 A,34.0915000,183.7762699,-7.2575413,0.09,1.62
HD 106906,103.0290000,184.4713308,-55.9755805,0.853,2.12
HD 10697,33.1205000,26.2324076,20.0826974,0.477,1.84
HD 108147,38.9200000,186.4409852,-64.0223492,0.303,1.21
HD 108236,64.5978000,186.5740627,-51.3630519,-0.15,0.88
HD 108863,164.7420000,187.5826081,21.9480993,1.225,5.60
HD 108874,59.5175000,187.6126029,22.8794399,-0.001,1.09
HD 109749,63.0821000,189.3173489,-40.8121458,0.22,1.24
HD 10975,116.5060000,27.1628025,37.9527542,1.79,11.16
HD 109833,79.5561000,189.7758591,-74.5740205,0.072,1.00
HD 110082,105.0960000,192.5892855,-88.1211107,0.281,1.19
HD 111591,114.1660000,192.5725483,22.8631285,1.581,8.03
HD 112300,62.0732400,193.8988441,3.3972376,2.701,65.80
HD 112570,101.1660000,194.2824262,46.1765638,1.647,9.85
HD 112640,323.3350000,194.2415171,67.2429122,2.453,39.00
HD 113337,36.1800000,195.4438496,63.6103280,0.632,1.50
HD 113538,16.2817000,196.2339330,-52.4463502,-1.046,0.65
HD 113996,116.3340000,196.7948740,27.6244384,2.464,25.11
HD 114082,95.3906000,197.3171237,-60.3084347,0.583,1.49
HD 114783,21.0628000,198.1818436,-2.2649921,-0.372,0.84
HD 11506,51.2610000,28.2106607,-19.5073960,0.337,1.35
HD 116029,123.2450000,200.1646905,24.6484725,1.053,4.60
HD 117618,37.7781000,203.1066418,-47.2719049,0.213,1.18
HD 118203,92.2589000,203.5099560,53.7281876,0.618,2.10
HD 11964,33.5369000,29.2884252,-10.2434693,0.459,2.01
HD 120084,103.0440000,205.6619890,78.0646376,1.738,10.37
HD 125612,57.6207000,215.2227183,-17.4818147,0.06,1.05
HD 12661,37.8478000,31.1423525,25.4135632,0.063,1.11
